Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,040913,2024,01,01,24.3,1,N
IDCJAC0010,040913,2024,01,02,27.6,1,N
IDCJAC0010,040913,2024,01,03,30.9,1,N
IDCJAC0010,040913,2024,01,04,31.6,1,N
IDCJAC0010,040913,2024,01,05,31.1,1,N
IDCJAC0010,040913,2024,01,06,27.3,1,N
IDCJAC0010,040913,2024,01,07,28.7,1,N
IDCJAC0010,040913,2024,01,08,29.3,1,N
IDCJAC0010,040913,2024,01,09,30.4,1,Y
IDCJAC0010,040913,2024,01,10,32.1,1,N
IDCJAC0010,040913,2024,01,11,29.9,1,N
IDCJAC0010,040913,2024,01,12,30.0,1,N
IDCJAC0010,040913,2024,01,13,30.9,1,N
IDCJAC0010,040913,2024,01,14,33.2,1,N
IDCJAC0010,040913,2024,01,15,29.2,1,N
IDCJAC0010,040913,2024,01,16,28.1,1,N
IDCJAC0010,040913,2024,01,17,30.3,1,N
IDCJAC0010,040913,2024,01,18,32.8,1,N
IDCJAC0010,040913,2024,01,19,34.0,1,N
IDCJAC0010,040913,2024,01,20,31.5,1,N
IDCJAC0010,040913,2024,01,21,33.5,1,N
IDCJAC0010,040913,2024,01,22,35.7,1,N
IDCJAC0010,040913,2024,01,23,28.1,1,N
IDCJAC0010,040913,2024,01,24,30.0,1,N
IDCJAC0010,040913,2024,01,25,31.8,1,N
IDCJAC0010,040913,2024,01,26,32.1,1,N
IDCJAC0010,040913,2024,01,27,34.9,1,N
IDCJAC0010,040913,2024,01,28,29.8,1,N
IDCJAC0010,040913,2024,01,29,31.4,1,N
IDCJAC0010,040913,2024,01,30,30.0,1,N
IDCJAC0010,040913,2024,01,31,30.8,1,N
IDCJAC0010,040913,2024,02,01,31.6,1,Y
IDCJAC0010,040913,2024,02,02,32.9,1,Y
IDCJAC0010,040913,2024,02,03,31.8,1,Y
IDCJAC0010,040913,2024,02,04,31.1,1,Y
IDCJAC0010,040913,2024,02,05,31.6,1,Y
IDCJAC0010,040913,2024,02,06,33.1,1,Y
IDCJAC0010,040913,2024,02,07,30.3,1,Y
IDCJAC0010,040913,2024,02,08,30.5,1,Y
IDCJAC0010,040913,2024,02,09,27.9,1,Y
IDCJAC0010,040913,2024,02,10,27.3,1,Y
IDCJAC0010,040913,2024,02,11,30.6,1,Y
IDCJAC0010,040913,2024,02,12,29.8,1,Y
IDCJAC0010,040913,2024,02,13,28.8,1,Y
IDCJAC0010,040913,2024,02,14,31.9,1,Y
IDCJAC0010,040913,2024,02,15,29.1,1,Y
IDCJAC0010,040913,2024,02,16,27.4,1,Y
IDCJAC0010,040913,2024,02,17,30.1,1,Y
IDCJAC0010,040913,2024,02,18,30.7,1,Y
IDCJAC0010,040913,2024,02,19,29.1,1,Y
IDCJAC0010,040913,2024,02,20,31.2,1,Y
IDCJAC0010,040913,2024,02,21,31.7,1,Y
IDCJAC0010,040913,2024,02,22,33.1,1,Y
IDCJAC0010,040913,2024,02,23,34.5,1,Y
IDCJAC0010,040913,2024,02,24,31.2,1,Y
IDCJAC0010,040913,2024,02,25,30.0,1,Y
IDCJAC0010,040913,2024,02,26,32.3,1,Y
IDCJAC0010,040913,2024,02,27,30.6,1,Y
IDCJAC0010,040913,2024,02,28,30.9,1,Y
IDCJAC0010,040913,2024,02,29,31.4,1,Y
IDCJAC0010,040913,2024,03,01,31.4,1,Y
IDCJAC0010,040913,2024,03,02,32.7,1,Y
IDCJAC0010,040913,2024,03,03,30.0,1,Y
IDCJAC0010,040913,2024,03,04,32.3,1,Y
IDCJAC0010,040913,2024,03,05,28.1,1,Y
IDCJAC0010,040913,2024,03,06,29.4,1,Y
IDCJAC0010,040913,2024,03,07,30.0,1,Y
IDCJAC0010,040913,2024,03,08,29.6,1,Y
IDCJAC0010,040913,2024,03,09,29.6,1,Y
IDCJAC0010,040913,2024,03,10,28.5,1,Y
IDCJAC0010,040913,2024,03,11,28.4,1,Y
IDCJAC0010,040913,2024,03,12,29.7,1,Y
IDCJAC0010,040913,2024,03,13,29.6,1,Y
IDCJAC0010,040913,2024,03,14,29.6,1,Y
IDCJAC0010,040913,2024,03,15,30.3,1,Y
IDCJAC0010,040913,2024,03,16,28.5,1,Y
IDCJAC0010,040913,2024,03,17,28.3,1,Y
IDCJAC0010,040913,2024,03,18,29.0,1,Y
IDCJAC0010,040913,2024,03,19,28.8,1,Y
IDCJAC0010,040913,2024,03,20,30.4,1,Y
IDCJAC0010,040913,2024,03,21,26.4,1,Y
IDCJAC0010,040913,2024,03,22,26.9,1,Y
IDCJAC0010,040913,2024,03,23,25.9,1,Y
IDCJAC0010,040913,2024,03,24,21.4,1,Y
IDCJAC0010,040913,2024,03,25,22.1,1,Y
IDCJAC0010,040913,2024,03,26,23.0,1,Y
IDCJAC0010,040913,2024,03,27,26.7,1,Y
IDCJAC0010,040913,2024,03,28,28.6,1,Y
IDCJAC0010,040913,2024,03,29,28.8,1,Y
IDCJAC0010,040913,2024,03,30,28.2,1,Y
IDCJAC0010,040913,2024,03,31,27.3,1,Y
IDCJAC0010,040913,2024,04,01,25.8,1,Y
IDCJAC0010,040913,2024,04,02,28.6,1,Y
IDCJAC0010,040913,2024,04,03,31.8,1,Y
IDCJAC0010,040913,2024,04,04,28.6,1,Y
IDCJAC0010,040913,2024,04,05,26.2,1,Y
IDCJAC0010,040913,2024,04,06,30.3,1,Y
IDCJAC0010,040913,2024,04,07,29.7,1,Y
IDCJAC0010,040913,2024,04,08,30.5,1,Y
IDCJAC0010,040913,2024,04,09,29.1,1,Y
IDCJAC0010,040913,2024,04,10,27.2,1,Y
IDCJAC0010,040913,2024,04,11,27.7,1,Y
IDCJAC0010,040913,2024,04,12,28.0,1,Y
IDCJAC0010,040913,2024,04,13,27.3,1,Y
IDCJAC0010,040913,2024,04,14,28.1,1,Y
IDCJAC0010,040913,2024,04,15,28.3,1,Y
IDCJAC0010,040913,2024,04,16,28.8,1,Y
IDCJAC0010,040913,2024,04,17,27.3,1,Y
IDCJAC0010,040913,2024,04,18,26.3,1,Y
IDCJAC0010,040913,2024,04,19,28.3,1,Y
IDCJAC0010,040913,2024,04,20,25.7,1,Y
IDCJAC0010,040913,2024,04,21,21.9,1,Y
IDCJAC0010,040913,2024,04,22,25.9,1,Y
IDCJAC0010,040913,2024,04,23,26.3,1,Y
IDCJAC0010,040913,2024,04,24,27.7,1,Y
IDCJAC0010,040913,2024,04,25,28.6,1,Y
IDCJAC0010,040913,2024,04,26,24.3,1,Y
IDCJAC0010,040913,2024,04,27,25.5,1,Y
IDCJAC0010,040913,2024,04,28,26.1,1,Y
IDCJAC0010,040913,2024,04,29,26.0,1,Y
IDCJAC0010,040913,2024,04,30,26.4,1,Y
IDCJAC0010,040913,2024,05,01,25.9,1,Y
IDCJAC0010,040913,2024,05,02,23.6,1,Y
IDCJAC0010,040913,2024,05,03,23.3,1,Y
IDCJAC0010,040913,2024,05,04,22.8,1,Y
IDCJAC0010,040913,2024,05,05,26.4,1,Y
