Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,040913,2024,01,01,21.7,1,N
IDCJAC0011,040913,2024,01,02,20.4,1,N
IDCJAC0011,040913,2024,01,03,20.6,1,N
IDCJAC0011,040913,2024,01,04,22.5,1,N
IDCJAC0011,040913,2024,01,05,23.1,1,N
IDCJAC0011,040913,2024,01,06,22.6,1,N
IDCJAC0011,040913,2024,01,07,21.1,1,N
IDCJAC0011,040913,2024,01,08,21.7,1,N
IDCJAC0011,040913,2024,01,09,24.0,1,N
IDCJAC0011,040913,2024,01,10,23.9,1,Y
IDCJAC0011,040913,2024,01,11,21.9,1,N
IDCJAC0011,040913,2024,01,12,21.2,1,N
IDCJAC0011,040913,2024,01,13,22.3,1,N
IDCJAC0011,040913,2024,01,14,21.4,1,N
IDCJAC0011,040913,2024,01,15,23.8,1,N
IDCJAC0011,040913,2024,01,16,22.6,1,N
IDCJAC0011,040913,2024,01,17,22.4,1,N
IDCJAC0011,040913,2024,01,18,24.9,1,N
IDCJAC0011,040913,2024,01,19,23.3,1,N
IDCJAC0011,040913,2024,01,20,24.2,1,N
IDCJAC0011,040913,2024,01,21,24.6,1,N
IDCJAC0011,040913,2024,01,22,24.6,1,N
IDCJAC0011,040913,2024,01,23,24.5,1,N
IDCJAC0011,040913,2024,01,24,21.7,1,N
IDCJAC0011,040913,2024,01,25,20.8,1,N
IDCJAC0011,040913,2024,01,26,23.1,1,N
IDCJAC0011,040913,2024,01,27,27.2,1,N
IDCJAC0011,040913,2024,01,28,24.4,1,N
IDCJAC0011,040913,2024,01,29,24.5,1,N
IDCJAC0011,040913,2024,01,30,25.5,1,N
IDCJAC0011,040913,2024,01,31,23.2,1,N
IDCJAC0011,040913,2024,02,01,22.6,1,Y
IDCJAC0011,040913,2024,02,02,21.6,1,Y
IDCJAC0011,040913,2024,02,03,23.9,1,Y
IDCJAC0011,040913,2024,02,04,23.8,1,Y
IDCJAC0011,040913,2024,02,05,23.1,1,Y
IDCJAC0011,040913,2024,02,06,24.8,1,Y
IDCJAC0011,040913,2024,02,07,24.8,1,Y
IDCJAC0011,040913,2024,02,08,21.9,1,Y
IDCJAC0011,040913,2024,02,09,21.3,1,Y
IDCJAC0011,040913,2024,02,10,22.5,1,Y
IDCJAC0011,040913,2024,02,11,21.6,1,Y
IDCJAC0011,040913,2024,02,12,21.3,1,Y
IDCJAC0011,040913,2024,02,13,21.3,1,Y
IDCJAC0011,040913,2024,02,14,21.9,1,Y
IDCJAC0011,040913,2024,02,15,24.2,1,Y
IDCJAC0011,040913,2024,02,16,22.3,1,Y
IDCJAC0011,040913,2024,02,17,20.1,1,Y
IDCJAC0011,040913,2024,02,18,21.3,1,Y
IDCJAC0011,040913,2024,02,19,21.5,1,Y
IDCJAC0011,040913,2024,02,20,20.0,1,Y
IDCJAC0011,040913,2024,02,21,21.5,1,Y
IDCJAC0011,040913,2024,02,22,22.5,1,Y
IDCJAC0011,040913,2024,02,23,22.5,1,Y
IDCJAC0011,040913,2024,02,24,25.7,1,Y
IDCJAC0011,040913,2024,02,25,22.9,1,Y
IDCJAC0011,040913,2024,02,26,23.1,1,Y
IDCJAC0011,040913,2024,02,27,24.6,1,Y
IDCJAC0011,040913,2024,02,28,21.9,1,Y
IDCJAC0011,040913,2024,02,29,22.6,1,Y
IDCJAC0011,040913,2024,03,01,22.6,1,Y
IDCJAC0011,040913,2024,03,02,21.8,1,Y
IDCJAC0011,040913,2024,03,03,24.3,1,Y
IDCJAC0011,040913,2024,03,04,24.2,1,Y
IDCJAC0011,040913,2024,03,05,21.7,1,Y
IDCJAC0011,040913,2024,03,06,20.2,1,Y
IDCJAC0011,040913,2024,03,07,20.1,1,Y
IDCJAC0011,040913,2024,03,08,20.6,1,Y
IDCJAC0011,040913,2024,03,09,21.5,1,Y
IDCJAC0011,040913,2024,03,10,20.6,1,Y
IDCJAC0011,040913,2024,03,11,21.4,1,Y
IDCJAC0011,040913,2024,03,12,20.4,1,Y
IDCJAC0011,040913,2024,03,13,20.7,1,Y
IDCJAC0011,040913,2024,03,14,21.1,1,Y
IDCJAC0011,040913,2024,03,15,19.8,1,Y
IDCJAC0011,040913,2024,03,16,20.8,1,Y
IDCJAC0011,040913,2024,03,17,19.6,1,Y
IDCJAC0011,040913,2024,03,18,20.8,1,Y
IDCJAC0011,040913,2024,03,19,21.3,1,Y
IDCJAC0011,040913,2024,03,20,21.2,1,Y
IDCJAC0011,040913,2024,03,21,22.3,1,Y
IDCJAC0011,040913,2024,03,22,19.8,1,Y
IDCJAC0011,040913,2024,03,23,18.8,1,Y
IDCJAC0011,040913,2024,03,24,19.9,1,Y
IDCJAC0011,040913,2024,03,25,18.7,1,Y
IDCJAC0011,040913,2024,03,26,19.9,1,Y
IDCJAC0011,040913,2024,03,27,20.8,1,Y
IDCJAC0011,040913,2024,03,28,20.1,1,Y
IDCJAC0011,040913,2024,03,29,18.5,1,Y
IDCJAC0011,040913,2024,03,30,20.1,1,Y
IDCJAC0011,040913,2024,03,31,19.4,1,Y
IDCJAC0011,040913,2024,04,01,20.3,1,Y
IDCJAC0011,040913,2024,04,02,20.1,1,Y
IDCJAC0011,040913,2024,04,03,20.3,1,Y
IDCJAC0011,040913,2024,04,04,22.6,1,Y
IDCJAC0011,040913,2024,04,05,19.9,1,Y
IDCJAC0011,040913,2024,04,06,19.5,1,Y
IDCJAC0011,040913,2024,04,07,22.2,1,Y
IDCJAC0011,040913,2024,04,08,21.4,1,Y
IDCJAC0011,040913,2024,04,09,21.3,1,Y
IDCJAC0011,040913,2024,04,10,16.4,1,Y
IDCJAC0011,040913,2024,04,11,15.6,1,Y
IDCJAC0011,040913,2024,04,12,16.6,1,Y
IDCJAC0011,040913,2024,04,13,17.1,1,Y
IDCJAC0011,040913,2024,04,14,17.5,1,Y
IDCJAC0011,040913,2024,04,15,17.6,1,Y
IDCJAC0011,040913,2024,04,16,18.0,1,Y
IDCJAC0011,040913,2024,04,17,18.0,1,Y
IDCJAC0011,040913,2024,04,18,19.2,1,Y
IDCJAC0011,040913,2024,04,19,18.3,1,Y
IDCJAC0011,040913,2024,04,20,17.1,1,Y
IDCJAC0011,040913,2024,04,21,17.2,1,Y
IDCJAC0011,040913,2024,04,22,16.6,1,Y
IDCJAC0011,040913,2024,04,23,17.2,1,Y
IDCJAC0011,040913,2024,04,24,17.1,1,Y
IDCJAC0011,040913,2024,04,25,16.1,1,Y
IDCJAC0011,040913,2024,04,26,18.6,1,Y
IDCJAC0011,040913,2024,04,27,16.0,1,Y
IDCJAC0011,040913,2024,04,28,16.3,1,Y
IDCJAC0011,040913,2024,04,29,16.4,1,Y
IDCJAC0011,040913,2024,04,30,16.1,1,Y
IDCJAC0011,040913,2024,05,01,16.2,1,Y
IDCJAC0011,040913,2024,05,02,17.0,1,Y
IDCJAC0011,040913,2024,05,03,16.9,1,Y
IDCJAC0011,040913,2024,05,04,16.1,1,Y
IDCJAC0011,040913,2024,05,05,17.3,1,Y
IDCJAC0011,040913,2024,05,06,16.3,1,Y
IDCJAC0011,040913,2024,05,07,16.3,1,Y
IDCJAC0011,040913,2024,05,08,15.5,1,Y
IDCJAC0011,040913,2024,05,09,16.3,1,Y
IDCJAC0011,040913,2024,05,10,16.1,1,Y
IDCJAC0011,040913,2024,05,11,16.0,1,Y
IDCJAC0011,040913,2024,05,12,17.8,1,Y
IDCJAC0011,040913,2024,05,13,11.3,1,Y
IDCJAC0011,040913,2024,05,14,13.1,1,Y
IDCJAC0011,040913,2024,05,15,15.7,1,Y
IDCJAC0011,040913,2024,05,16,16.9,1,Y
IDCJAC0011,040913,2024,05,17,14.7,1,Y
IDCJAC0011,040913,2024,05,18,14.6,1,Y
IDCJAC0011,040913,2024,05,19,12.8,1,Y
IDCJAC0011,040913,2024,05,20,10.9,1,Y
IDCJAC0011,040913,2024,05,21,10.0,1,Y
IDCJAC0011,040913,2024,05,22,14.1,1,Y
IDCJAC0011,040913,2024,05,23,11.5,1,Y
IDCJAC0011,040913,2024,05,24,11.8,1,Y
IDCJAC0011,040913,2024,05,25,15.8,1,Y
IDCJAC0011,040913,2024,05,26,14.8,1,Y
IDCJAC0011,040913,2024,05,27,13.5,1,Y
IDCJAC0011,040913,2024,05,28,14.7,1,Y
IDCJAC0011,040913,2024,05,29,14.4,1,Y
IDCJAC0011,040913,2024,05,30,15.2,1,Y
IDCJAC0011,040913,2024,05,31,16.0,1,Y
IDCJAC0011,040913,2024,06,01,17.1,1,N
IDCJAC0011,040913,2024,06,02,14.1,1,N
IDCJAC0011,040913,2024,06,03,12.2,1,N
IDCJAC0011,040913,2024,06,04,8.2,1,N
IDCJAC0011,040913,2024,06,05,8.5,1,N
IDCJAC0011,040913,2024,06,06,12.1,1,N
IDCJAC0011,040913,2024,06,07,10.2,1,N
IDCJAC0011,040913,2024,06,08,9.0,1,Y
IDCJAC0011,040913,2024,06,09,9.2,1,N
IDCJAC0011,040913,2024,06,10,11.2,1,N
IDCJAC0011,040913,2024,06,11,9.7,1,N
IDCJAC0011,040913,2024,06,12,8.5,1,N
IDCJAC0011,040913,2024,06,13,11.1,1,N
IDCJAC0011,040913,2024,06,14,8.5,1,N
IDCJAC0011,040913,2024,06,15,11.6,1,N
IDCJAC0011,040913,2024,06,16,10.7,1,N
IDCJAC0011,040913,2024,06,17,10.3,1,N
IDCJAC0011,040913,2024,06,18,8.9,1,N
IDCJAC0011,040913,2024,06,19,10.4,1,N
IDCJAC0011,040913,2024,06,20,8.0,1,N
IDCJAC0011,040913,2024,06,21,10.3,1,N
IDCJAC0011,040913,2024,06,22,12.9,1,N
IDCJAC0011,040913,2024,06,23,7.7,1,N
IDCJAC0011,040913,2024,06,24,9.6,1,N
IDCJAC0011,040913,2024,06,25,12.6,1,N
IDCJAC0011,040913,2024,06,26,12.5,1,N
IDCJAC0011,040913,2024,06,27,13.9,1,N
IDCJAC0011,040913,2024,06,28,13.1,1,N
IDCJAC0011,040913,2024,06,29,12.2,1,N
IDCJAC0011,040913,2024,06,30,13.7,1,N
IDCJAC0011,040913,2024,07,01,18.0,1,Y
IDCJAC0011,040913,2024,07,02,13.5,1,Y
IDCJAC0011,040913,2024,07,03,13.5,1,Y
IDCJAC0011,040913,2024,07,04,13.0,1,Y
IDCJAC0011,040913,2024,07,05,11.3,1,Y
