Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,040913,2024,01,01,6.9
IDCJAC0016,040913,2024,01,02,5.9
IDCJAC0016,040913,2024,01,03,20.3
IDCJAC0016,040913,2024,01,04,23.8
IDCJAC0016,040913,2024,01,05,21.0
IDCJAC0016,040913,2024,01,06,17.1
IDCJAC0016,040913,2024,01,07,23.6
IDCJAC0016,040913,2024,01,08,15.3
IDCJAC0016,040913,2024,01,09,17.6
IDCJAC0016,040913,2024,01,10,27.2
IDCJAC0016,040913,2024,01,11,20.1
IDCJAC0016,040913,2024,01,12,19.0
IDCJAC0016,040913,2024,01,13,24.4
IDCJAC0016,040913,2024,01,14,29.6
IDCJAC0016,040913,2024,01,15,20.5
IDCJAC0016,040913,2024,01,16,17.6
IDCJAC0016,040913,2024,01,17,23.7
IDCJAC0016,040913,2024,01,18,20.9
IDCJAC0016,040913,2024,01,19,27.4
IDCJAC0016,040913,2024,01,20,20.9
IDCJAC0016,040913,2024,01,21,26.7
IDCJAC0016,040913,2024,01,22,28.6
IDCJAC0016,040913,2024,01,23,9.4
IDCJAC0016,040913,2024,01,24,25.0
IDCJAC0016,040913,2024,01,25,30.1
IDCJAC0016,040913,2024,01,26,13.4
IDCJAC0016,040913,2024,01,27,28.0
IDCJAC0016,040913,2024,01,28,8.4
IDCJAC0016,040913,2024,01,29,17.6
IDCJAC0016,040913,2024,01,30,9.7
IDCJAC0016,040913,2024,01,31,22.9
IDCJAC0016,040913,2024,02,01,26.4
IDCJAC0016,040913,2024,02,02,29.7
IDCJAC0016,040913,2024,02,03,23.7
IDCJAC0016,040913,2024,02,04,18.1
IDCJAC0016,040913,2024,02,05,28.6
IDCJAC0016,040913,2024,02,06,26.9
IDCJAC0016,040913,2024,02,07,17.9
IDCJAC0016,040913,2024,02,08,19.4
IDCJAC0016,040913,2024,02,09,14.0
IDCJAC0016,040913,2024,02,10,12.2
IDCJAC0016,040913,2024,02,11,24.3
IDCJAC0016,040913,2024,02,12,19.8
IDCJAC0016,040913,2024,02,13,13.7
IDCJAC0016,040913,2024,02,14,21.4
IDCJAC0016,040913,2024,02,15,11.9
IDCJAC0016,040913,2024,02,16,5.5
IDCJAC0016,040913,2024,02,17,23.9
IDCJAC0016,040913,2024,02,18,24.2
IDCJAC0016,040913,2024,02,19,14.9
IDCJAC0016,040913,2024,02,20,23.8
IDCJAC0016,040913,2024,02,21,26.3
IDCJAC0016,040913,2024,02,22,26.1
IDCJAC0016,040913,2024,02,23,26.8
IDCJAC0016,040913,2024,02,24,13.1
IDCJAC0016,040913,2024,02,25,15.9
IDCJAC0016,040913,2024,02,26,25.2
IDCJAC0016,040913,2024,02,27,17.5
IDCJAC0016,040913,2024,02,28,24.3
IDCJAC0016,040913,2024,02,29,25.0
IDCJAC0016,040913,2024,03,01,24.0
IDCJAC0016,040913,2024,03,02,26.2
IDCJAC0016,040913,2024,03,03,14.0
IDCJAC0016,040913,2024,03,04,16.6
