Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2024,01,01,23.2,1,Y
IDCJAC0010,086338,2024,01,02,24.7,1,Y
IDCJAC0010,086338,2024,01,03,26.9,1,Y
IDCJAC0010,086338,2024,01,04,21.9,1,Y
IDCJAC0010,086338,2024,01,05,28.9,1,Y
IDCJAC0010,086338,2024,01,06,32.6,1,Y
IDCJAC0010,086338,2024,01,07,27.2,1,Y
IDCJAC0010,086338,2024,01,08,20.3,1,Y
IDCJAC0010,086338,2024,01,09,24.2,1,Y
IDCJAC0010,086338,2024,01,10,27.4,1,Y
IDCJAC0010,086338,2024,01,11,23.1,1,Y
IDCJAC0010,086338,2024,01,12,33.4,1,Y
IDCJAC0010,086338,2024,01,13,21.7,1,Y
IDCJAC0010,086338,2024,01,14,22.9,1,Y
IDCJAC0010,086338,2024,01,15,30.2,1,Y
IDCJAC0010,086338,2024,01,16,31.9,1,Y
IDCJAC0010,086338,2024,01,17,21.5,1,Y
IDCJAC0010,086338,2024,01,18,21.6,1,Y
IDCJAC0010,086338,2024,01,19,20.8,1,Y
IDCJAC0010,086338,2024,01,20,28.7,1,Y
IDCJAC0010,086338,2024,01,21,20.5,1,Y
IDCJAC0010,086338,2024,01,22,20.2,1,Y
IDCJAC0010,086338,2024,01,23,31.7,1,Y
IDCJAC0010,086338,2024,01,24,30.2,1,Y
IDCJAC0010,086338,2024,01,25,23.8,1,Y
IDCJAC0010,086338,2024,01,26,22.3,1,Y
IDCJAC0010,086338,2024,01,27,24.7,1,Y
IDCJAC0010,086338,2024,01,28,26.3,1,Y
IDCJAC0010,086338,2024,01,29,27.2,1,Y
IDCJAC0010,086338,2024,01,30,23.3,1,Y
IDCJAC0010,086338,2024,01,31,21.6,1,Y
IDCJAC0010,086338,2024,02,01,24.3,1,Y
IDCJAC0010,086338,2024,02,02,20.9,1,Y
IDCJAC0010,086338,2024,02,03,33.4,1,Y
IDCJAC0010,086338,2024,02,04,37.5,1,Y
IDCJAC0010,086338,2024,02,05,19.9,1,Y
IDCJAC0010,086338,2024,02,06,21.1,1,Y
IDCJAC0010,086338,2024,02,07,21.9,1,Y
IDCJAC0010,086338,2024,02,08,22.4,1,Y
IDCJAC0010,086338,2024,02,09,21.2,1,Y
IDCJAC0010,086338,2024,02,10,26.7,1,Y
IDCJAC0010,086338,2024,02,11,33.2,1,Y
IDCJAC0010,086338,2024,02,12,35.8,1,Y
IDCJAC0010,086338,2024,02,13,36.7,1,Y
