Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,086338,2024,01,01,31.4
IDCJAC0016,086338,2024,01,02,16.1
IDCJAC0016,086338,2024,01,03,18.1
IDCJAC0016,086338,2024,01,04,20.5
IDCJAC0016,086338,2024,01,05,26.5
IDCJAC0016,086338,2024,01,06,26.9
IDCJAC0016,086338,2024,01,07,5.7
IDCJAC0016,086338,2024,01,08,2.3
IDCJAC0016,086338,2024,01,09,30.4
IDCJAC0016,086338,2024,01,10,30.2
IDCJAC0016,086338,2024,01,11,30.1
IDCJAC0016,086338,2024,01,12,31.3
IDCJAC0016,086338,2024,01,13,10.3
IDCJAC0016,086338,2024,01,14,27.1
IDCJAC0016,086338,2024,01,15,27.3
IDCJAC0016,086338,2024,01,16,30.1
IDCJAC0016,086338,2024,01,17,13.6
IDCJAC0016,086338,2024,01,18,22.4
IDCJAC0016,086338,2024,01,19,16.2
IDCJAC0016,086338,2024,01,20,19.0
IDCJAC0016,086338,2024,01,21,14.3
IDCJAC0016,086338,2024,01,22,23.7
IDCJAC0016,086338,2024,01,23,29.4
IDCJAC0016,086338,2024,01,24,25.5
IDCJAC0016,086338,2024,01,25,9.6
IDCJAC0016,086338,2024,01,26,24.1
IDCJAC0016,086338,2024,01,27,23.5
IDCJAC0016,086338,2024,01,28,27.9
IDCJAC0016,086338,2024,01,29,29.3
IDCJAC0016,086338,2024,01,30,27.9
IDCJAC0016,086338,2024,01,31,25.0
IDCJAC0016,086338,2024,02,01,26.0
IDCJAC0016,086338,2024,02,02,27.1
IDCJAC0016,086338,2024,02,03,28.8
IDCJAC0016,086338,2024,02,04,28.6
IDCJAC0016,086338,2024,02,05,4.1
IDCJAC0016,086338,2024,02,06,26.0
IDCJAC0016,086338,2024,02,07,25.6
IDCJAC0016,086338,2024,02,08,26.3
IDCJAC0016,086338,2024,02,09,22.8
IDCJAC0016,086338,2024,02,10,26.8
IDCJAC0016,086338,2024,02,11,26.4
IDCJAC0016,086338,2024,02,12,26.5
IDCJAC0016,086338,2024,02,13,19.6
IDCJAC0016,086338,2024,02,14,21.0
IDCJAC0016,086338,2024,02,15,25.6
IDCJAC0016,086338,2024,02,16,22.1
IDCJAC0016,086338,2024,02,17,19.6
IDCJAC0016,086338,2024,02,18,23.2
IDCJAC0016,086338,2024,02,19,21.7
IDCJAC0016,086338,2024,02,20,23.6
IDCJAC0016,086338,2024,02,21,24.7
IDCJAC0016,086338,2024,02,22,21.2
IDCJAC0016,086338,2024,02,23,16.1
IDCJAC0016,086338,2024,02,24,20.7
IDCJAC0016,086338,2024,02,25,19.8
IDCJAC0016,086338,2024,02,26,20.7
IDCJAC0016,086338,2024,02,27,24.2
IDCJAC0016,086338,2024,02,28,11.7
IDCJAC0016,086338,2024,02,29,15.6
IDCJAC0016,086338,2024,03,01,22.9
IDCJAC0016,086338,2024,03,02,19.4
IDCJAC0016,086338,2024,03,03,14.7
IDCJAC0016,086338,2024,03,04,22.9
IDCJAC0016,086338,2024,03,05,22.7
IDCJAC0016,086338,2024,03,06,18.9
IDCJAC0016,086338,2024,03,07,21.0
IDCJAC0016,086338,2024,03,08,22.0
IDCJAC0016,086338,2024,03,09,21.2
IDCJAC0016,086338,2024,03,10,21.4
IDCJAC0016,086338,2024,03,11,20.0
IDCJAC0016,086338,2024,03,12,6.2
IDCJAC0016,086338,2024,03,13,7.5
IDCJAC0016,086338,2024,03,14,16.1
IDCJAC0016,086338,2024,03,15,20.0
IDCJAC0016,086338,2024,03,16,20.0
IDCJAC0016,086338,2024,03,17,17.0
IDCJAC0016,086338,2024,03,18,18.3
IDCJAC0016,086338,2024,03,19,11.7
IDCJAC0016,086338,2024,03,20,18.5
IDCJAC0016,086338,2024,03,21,19.3
IDCJAC0016,086338,2024,03,22,19.0
IDCJAC0016,086338,2024,03,23,13.8
IDCJAC0016,086338,2024,03,24,15.6
IDCJAC0016,086338,2024,03,25,16.3
IDCJAC0016,086338,2024,03,26,16.3
IDCJAC0016,086338,2024,03,27,14.4
IDCJAC0016,086338,2024,03,28,13.1
IDCJAC0016,086338,2024,03,29,17.5
IDCJAC0016,086338,2024,03,30,16.5
IDCJAC0016,086338,2024,03,31,13.1
IDCJAC0016,086338,2024,04,01,7.4
IDCJAC0016,086338,2024,04,02,10.0
IDCJAC0016,086338,2024,04,03,7.4
IDCJAC0016,086338,2024,04,04,13.3
IDCJAC0016,086338,2024,04,05,15.5
IDCJAC0016,086338,2024,04,06,8.2
IDCJAC0016,086338,2024,04,07,11.0
IDCJAC0016,086338,2024,04,08,10.9
IDCJAC0016,086338,2024,04,09,9.8
IDCJAC0016,086338,2024,04,10,8.3
IDCJAC0016,086338,2024,04,11,8.8
IDCJAC0016,086338,2024,04,12,10.2
IDCJAC0016,086338,2024,04,13,13.4
IDCJAC0016,086338,2024,04,14,10.4
IDCJAC0016,086338,2024,04,15,14.6
IDCJAC0016,086338,2024,04,16,12.1
IDCJAC0016,086338,2024,04,17,10.8
IDCJAC0016,086338,2024,04,18,7.9
IDCJAC0016,086338,2024,04,19,9.4
IDCJAC0016,086338,2024,04,20,11.0
IDCJAC0016,086338,2024,04,21,10.8
IDCJAC0016,086338,2024,04,22,13.6
IDCJAC0016,086338,2024,04,23,12.9
IDCJAC0016,086338,2024,04,24,9.5
