Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066214,2024,01,01,24.8,1,Y
IDCJAC0010,066214,2024,01,02,27.6,1,Y
IDCJAC0010,066214,2024,01,03,27.5,1,Y
IDCJAC0010,066214,2024,01,04,26.9,1,Y
IDCJAC0010,066214,2024,01,05,26.0,1,Y
IDCJAC0010,066214,2024,01,06,27.8,1,Y
IDCJAC0010,066214,2024,01,07,27.8,1,Y
IDCJAC0010,066214,2024,01,08,27.3,1,Y
IDCJAC0010,066214,2024,01,09,28.0,1,Y
IDCJAC0010,066214,2024,01,10,29.3,1,Y
IDCJAC0010,066214,2024,01,11,30.8,1,Y
IDCJAC0010,066214,2024,01,12,30.1,1,Y
IDCJAC0010,066214,2024,01,13,29.9,1,Y
IDCJAC0010,066214,2024,01,14,26.7,1,Y
IDCJAC0010,066214,2024,01,15,23.7,1,Y
IDCJAC0010,066214,2024,01,16,26.0,1,Y
IDCJAC0010,066214,2024,01,17,28.6,1,Y
IDCJAC0010,066214,2024,01,18,29.7,1,Y
IDCJAC0010,066214,2024,01,19,29.1,1,Y
IDCJAC0010,066214,2024,01,20,26.5,1,Y
IDCJAC0010,066214,2024,01,21,33.9,1,Y
IDCJAC0010,066214,2024,01,22,24.9,1,Y
IDCJAC0010,066214,2024,01,23,27.0,1,Y
IDCJAC0010,066214,2024,01,24,29.8,1,Y
IDCJAC0010,066214,2024,01,25,32.1,1,Y
IDCJAC0010,066214,2024,01,26,38.5,1,Y
IDCJAC0010,066214,2024,01,27,24.6,1,Y
IDCJAC0010,066214,2024,01,28,27.8,1,Y
IDCJAC0010,066214,2024,01,29,29.4,1,Y
IDCJAC0010,066214,2024,01,30,27.0,1,Y
IDCJAC0010,066214,2024,01,31,28.0,1,Y
IDCJAC0010,066214,2024,02,01,29.0,1,Y
IDCJAC0010,066214,2024,02,02,31.2,1,Y
IDCJAC0010,066214,2024,02,03,28.4,1,Y
IDCJAC0010,066214,2024,02,04,31.0,1,Y
IDCJAC0010,066214,2024,02,05,34.3,1,Y
IDCJAC0010,066214,2024,02,06,24.1,1,Y
