Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,066214,2024,01,01,18.6,1,Y
IDCJAC0011,066214,2024,01,02,20.7,1,Y
IDCJAC0011,066214,2024,01,03,20.6,1,Y
IDCJAC0011,066214,2024,01,04,20.9,1,Y
IDCJAC0011,066214,2024,01,05,20.1,1,Y
IDCJAC0011,066214,2024,01,06,17.9,1,Y
IDCJAC0011,066214,2024,01,07,19.5,1,Y
IDCJAC0011,066214,2024,01,08,21.4,1,Y
IDCJAC0011,066214,2024,01,09,21.2,1,Y
IDCJAC0011,066214,2024,01,10,21.4,1,Y
IDCJAC0011,066214,2024,01,11,23.0,1,Y
IDCJAC0011,066214,2024,01,12,22.6,1,Y
IDCJAC0011,066214,2024,01,13,20.7,1,Y
IDCJAC0011,066214,2024,01,14,20.3,1,Y
IDCJAC0011,066214,2024,01,15,19.3,1,Y
IDCJAC0011,066214,2024,01,16,19.0,1,Y
IDCJAC0011,066214,2024,01,17,21.0,1,Y
IDCJAC0011,066214,2024,01,18,21.2,1,Y
IDCJAC0011,066214,2024,01,19,18.5,1,Y
IDCJAC0011,066214,2024,01,20,21.7,1,Y
IDCJAC0011,066214,2024,01,21,20.6,1,Y
IDCJAC0011,066214,2024,01,22,21.2,1,Y
IDCJAC0011,066214,2024,01,23,19.0,1,Y
IDCJAC0011,066214,2024,01,24,18.4,1,Y
IDCJAC0011,066214,2024,01,25,22.6,1,Y
IDCJAC0011,066214,2024,01,26,24.0,1,Y
IDCJAC0011,066214,2024,01,27,20.5,1,Y
IDCJAC0011,066214,2024,01,28,19.0,1,Y
IDCJAC0011,066214,2024,01,29,21.1,1,Y
IDCJAC0011,066214,2024,01,30,23.1,1,Y
IDCJAC0011,066214,2024,01,31,21.9,1,Y
IDCJAC0011,066214,2024,02,01,20.4,1,Y
IDCJAC0011,066214,2024,02,02,21.7,1,Y
IDCJAC0011,066214,2024,02,03,21.9,1,Y
IDCJAC0011,066214,2024,02,04,21.2,1,Y
IDCJAC0011,066214,2024,02,05,23.7,1,Y
IDCJAC0011,066214,2024,02,06,21.2,1,Y
IDCJAC0011,066214,2024,02,07,18.4,1,Y
IDCJAC0011,066214,2024,02,08,19.6,1,Y
IDCJAC0011,066214,2024,02,09,16.6,1,Y
IDCJAC0011,066214,2024,02,10,19.7,1,Y
IDCJAC0011,066214,2024,02,11,18.4,1,Y
IDCJAC0011,066214,2024,02,12,20.1,1,Y
IDCJAC0011,066214,2024,02,13,21.4,1,Y
IDCJAC0011,066214,2024,02,14,21.9,1,Y
IDCJAC0011,066214,2024,02,15,19.0,1,Y
IDCJAC0011,066214,2024,02,16,18.9,1,Y
IDCJAC0011,066214,2024,02,17,21.2,1,Y
IDCJAC0011,066214,2024,02,18,21.2,1,Y
IDCJAC0011,066214,2024,02,19,22.4,1,Y
IDCJAC0011,066214,2024,02,20,,,
IDCJAC0011,066214,2024,02,21,18.8,1,Y
IDCJAC0011,066214,2024,02,22,20.2,1,Y
IDCJAC0011,066214,2024,02,23,21.6,1,Y
IDCJAC0011,066214,2024,02,24,19.6,1,Y
IDCJAC0011,066214,2024,02,25,15.9,1,Y
IDCJAC0011,066214,2024,02,26,17.9,1,Y
IDCJAC0011,066214,2024,02,27,20.4,1,Y
IDCJAC0011,066214,2024,02,28,20.4,1,Y
IDCJAC0011,066214,2024,02,29,22.6,1,Y
IDCJAC0011,066214,2024,03,01,21.9,1,Y
IDCJAC0011,066214,2024,03,02,23.5,1,Y
IDCJAC0011,066214,2024,03,03,18.8,1,Y
IDCJAC0011,066214,2024,03,04,20.3,1,Y
IDCJAC0011,066214,2024,03,05,16.3,1,Y
IDCJAC0011,066214,2024,03,06,17.9,1,Y
IDCJAC0011,066214,2024,03,07,20.0,1,Y
IDCJAC0011,066214,2024,03,08,21.0,1,Y
IDCJAC0011,066214,2024,03,09,19.7,1,Y
IDCJAC0011,066214,2024,03,10,19.9,1,Y
IDCJAC0011,066214,2024,03,11,19.9,1,Y
IDCJAC0011,066214,2024,03,12,19.0,1,Y
IDCJAC0011,066214,2024,03,13,20.3,1,Y
IDCJAC0011,066214,2024,03,14,20.2,1,Y
IDCJAC0011,066214,2024,03,15,17.6,1,Y
IDCJAC0011,066214,2024,03,16,16.7,1,Y
IDCJAC0011,066214,2024,03,17,17.5,1,Y
IDCJAC0011,066214,2024,03,18,17.7,1,Y
IDCJAC0011,066214,2024,03,19,19.6,1,Y
IDCJAC0011,066214,2024,03,20,21.0,1,Y
IDCJAC0011,066214,2024,03,21,13.6,1,Y
IDCJAC0011,066214,2024,03,22,14.9,1,Y
IDCJAC0011,066214,2024,03,23,16.3,1,Y
IDCJAC0011,066214,2024,03,24,17.6,1,Y
IDCJAC0011,066214,2024,03,25,17.1,1,Y
IDCJAC0011,066214,2024,03,26,18.3,1,Y
IDCJAC0011,066214,2024,03,27,19.0,1,Y
IDCJAC0011,066214,2024,03,28,20.0,1,Y
IDCJAC0011,066214,2024,03,29,17.8,1,Y
IDCJAC0011,066214,2024,03,30,16.3,1,Y
IDCJAC0011,066214,2024,03,31,17.1,1,Y
IDCJAC0011,066214,2024,04,01,18.0,1,Y
IDCJAC0011,066214,2024,04,02,19.1,1,Y
IDCJAC0011,066214,2024,04,03,16.4,1,Y
IDCJAC0011,066214,2024,04,04,17.4,1,Y
IDCJAC0011,066214,2024,04,05,17.8,1,Y
IDCJAC0011,066214,2024,04,06,17.4,1,Y
IDCJAC0011,066214,2024,04,07,17.7,1,Y
IDCJAC0011,066214,2024,04,08,16.4,1,Y
IDCJAC0011,066214,2024,04,09,16.5,1,Y
IDCJAC0011,066214,2024,04,10,11.9,1,Y
IDCJAC0011,066214,2024,04,11,12.1,1,Y
IDCJAC0011,066214,2024,04,12,13.0,1,Y
IDCJAC0011,066214,2024,04,13,14.4,1,Y
IDCJAC0011,066214,2024,04,14,15.8,1,Y
IDCJAC0011,066214,2024,04,15,16.4,1,Y
IDCJAC0011,066214,2024,04,16,14.8,1,Y
IDCJAC0011,066214,2024,04,17,16.3,1,Y
IDCJAC0011,066214,2024,04,18,16.7,1,Y
IDCJAC0011,066214,2024,04,19,12.2,1,Y
IDCJAC0011,066214,2024,04,20,15.5,1,Y
IDCJAC0011,066214,2024,04,21,14.5,1,Y
IDCJAC0011,066214,2024,04,22,13.2,1,Y
IDCJAC0011,066214,2024,04,23,14.0,1,Y
IDCJAC0011,066214,2024,04,24,17.8,1,Y
IDCJAC0011,066214,2024,04,25,12.5,1,Y
IDCJAC0011,066214,2024,04,26,11.5,1,Y
IDCJAC0011,066214,2024,04,27,12.0,1,Y
IDCJAC0011,066214,2024,04,28,13.5,1,Y
IDCJAC0011,066214,2024,04,29,14.4,1,Y
IDCJAC0011,066214,2024,04,30,17.2,1,Y
IDCJAC0011,066214,2024,05,01,12.9,1,Y
IDCJAC0011,066214,2024,05,02,12.9,1,Y
IDCJAC0011,066214,2024,05,03,13.6,1,Y
IDCJAC0011,066214,2024,05,04,13.7,1,Y
IDCJAC0011,066214,2024,05,05,14.7,1,Y
IDCJAC0011,066214,2024,05,06,15.2,1,Y
IDCJAC0011,066214,2024,05,07,13.8,1,Y
IDCJAC0011,066214,2024,05,08,13.6,1,Y
IDCJAC0011,066214,2024,05,09,14.6,1,Y
IDCJAC0011,066214,2024,05,10,14.9,1,Y
IDCJAC0011,066214,2024,05,11,15.6,1,Y
IDCJAC0011,066214,2024,05,12,14.3,1,Y
IDCJAC0011,066214,2024,05,13,14.5,1,Y
IDCJAC0011,066214,2024,05,14,12.8,1,Y
IDCJAC0011,066214,2024,05,15,13.0,1,Y
IDCJAC0011,066214,2024,05,16,12.4,1,Y
IDCJAC0011,066214,2024,05,17,13.1,1,Y
IDCJAC0011,066214,2024,05,18,12.7,1,Y
IDCJAC0011,066214,2024,05,19,8.7,1,Y
IDCJAC0011,066214,2024,05,20,8.7,1,Y
IDCJAC0011,066214,2024,05,21,11.5,1,Y
IDCJAC0011,066214,2024,05,22,9.2,1,Y
IDCJAC0011,066214,2024,05,23,8.9,1,Y
IDCJAC0011,066214,2024,05,24,9.5,1,Y
IDCJAC0011,066214,2024,05,25,10.9,1,Y
IDCJAC0011,066214,2024,05,26,11.1,1,Y
IDCJAC0011,066214,2024,05,27,10.2,1,Y
IDCJAC0011,066214,2024,05,28,9.7,1,Y
IDCJAC0011,066214,2024,05,29,9.4,1,Y
IDCJAC0011,066214,2024,05,30,10.8,1,Y
IDCJAC0011,066214,2024,05,31,14.2,1,Y
IDCJAC0011,066214,2024,06,01,13.8,1,Y
IDCJAC0011,066214,2024,06,02,11.4,1,Y
IDCJAC0011,066214,2024,06,03,9.8,1,Y
IDCJAC0011,066214,2024,06,04,8.9,1,Y
IDCJAC0011,066214,2024,06,05,11.0,1,Y
IDCJAC0011,066214,2024,06,06,11.6,1,Y
IDCJAC0011,066214,2024,06,07,12.9,1,Y
IDCJAC0011,066214,2024,06,08,11.6,1,Y
IDCJAC0011,066214,2024,06,09,10.8,1,Y
IDCJAC0011,066214,2024,06,10,9.0,1,Y
IDCJAC0011,066214,2024,06,11,8.1,1,Y
IDCJAC0011,066214,2024,06,12,10.1,1,Y
IDCJAC0011,066214,2024,06,13,8.2,1,Y
IDCJAC0011,066214,2024,06,14,9.9,1,Y
IDCJAC0011,066214,2024,06,15,10.9,1,Y
IDCJAC0011,066214,2024,06,16,7.7,1,Y
IDCJAC0011,066214,2024,06,17,8.9,1,Y
IDCJAC0011,066214,2024,06,18,8.4,1,Y
IDCJAC0011,066214,2024,06,19,6.5,1,Y
IDCJAC0011,066214,2024,06,20,5.7,1,Y
IDCJAC0011,066214,2024,06,21,7.9,1,Y
IDCJAC0011,066214,2024,06,22,9.0,1,Y
IDCJAC0011,066214,2024,06,23,9.5,1,Y
IDCJAC0011,066214,2024,06,24,7.1,1,Y
IDCJAC0011,066214,2024,06,25,7.4,1,Y
IDCJAC0011,066214,2024,06,26,8.8,1,Y
IDCJAC0011,066214,2024,06,27,8.9,1,Y
IDCJAC0011,066214,2024,06,28,7.8,1,Y
IDCJAC0011,066214,2024,06,29,7.3,1,Y
IDCJAC0011,066214,2024,06,30,8.8,1,Y
IDCJAC0011,066214,2024,07,01,6.4,1,Y
IDCJAC0011,066214,2024,07,02,8.9,1,Y
IDCJAC0011,066214,2024,07,03,10.1,1,Y
IDCJAC0011,066214,2024,07,04,10.1,1,Y
IDCJAC0011,066214,2024,07,05,12.2,1,Y
IDCJAC0011,066214,2024,07,06,10.5,1,Y
IDCJAC0011,066214,2024,07,07,10.6,1,Y
IDCJAC0011,066214,2024,07,08,12.7,1,Y
IDCJAC0011,066214,2024,07,09,13.1,1,Y
IDCJAC0011,066214,2024,07,10,9.1,1,Y
IDCJAC0011,066214,2024,07,11,8.8,1,Y
IDCJAC0011,066214,2024,07,12,9.3,1,Y
IDCJAC0011,066214,2024,07,13,10.9,1,Y
IDCJAC0011,066214,2024,07,14,7.9,1,Y
IDCJAC0011,066214,2024,07,15,6.8,1,Y
IDCJAC0011,066214,2024,07,16,9.2,1,Y
IDCJAC0011,066214,2024,07,17,9.9,1,Y
IDCJAC0011,066214,2024,07,18,9.0,1,Y
IDCJAC0011,066214,2024,07,19,6.7,1,Y
IDCJAC0011,066214,2024,07,20,10.7,1,Y
IDCJAC0011,066214,2024,07,21,10.4,1,Y
IDCJAC0011,066214,2024,07,22,7.6,1,Y
IDCJAC0011,066214,2024,07,23,7.9,1,Y
IDCJAC0011,066214,2024,07,24,8.0,1,Y
IDCJAC0011,066214,2024,07,25,10.1,1,Y
IDCJAC0011,066214,2024,07,26,12.1,1,Y
IDCJAC0011,066214,2024,07,27,9.0,1,Y
IDCJAC0011,066214,2024,07,28,9.2,1,Y
