Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,066214,2024,01,01,15.5
IDCJAC0016,066214,2024,01,02,29.6
IDCJAC0016,066214,2024,01,03,25.9
IDCJAC0016,066214,2024,01,04,12.7
IDCJAC0016,066214,2024,01,05,21.6
IDCJAC0016,066214,2024,01,06,28.4
IDCJAC0016,066214,2024,01,07,28.9
IDCJAC0016,066214,2024,01,08,9.0
IDCJAC0016,066214,2024,01,09,25.3
IDCJAC0016,066214,2024,01,10,24.8
IDCJAC0016,066214,2024,01,11,19.3
IDCJAC0016,066214,2024,01,12,25.4
IDCJAC0016,066214,2024,01,13,30.8
IDCJAC0016,066214,2024,01,14,15.9
IDCJAC0016,066214,2024,01,15,10.1
IDCJAC0016,066214,2024,01,16,14.4
IDCJAC0016,066214,2024,01,17,14.9
IDCJAC0016,066214,2024,01,18,27.8
IDCJAC0016,066214,2024,01,19,27.7
IDCJAC0016,066214,2024,01,20,17.0
IDCJAC0016,066214,2024,01,21,30.7
IDCJAC0016,066214,2024,01,22,10.8
IDCJAC0016,066214,2024,01,23,21.6
IDCJAC0016,066214,2024,01,24,24.7
IDCJAC0016,066214,2024,01,25,13.9
IDCJAC0016,066214,2024,01,26,19.4
IDCJAC0016,066214,2024,01,27,8.1
IDCJAC0016,066214,2024,01,28,21.5
IDCJAC0016,066214,2024,01,29,29.4
IDCJAC0016,066214,2024,01,30,14.1
IDCJAC0016,066214,2024,01,31,16.5
IDCJAC0016,066214,2024,02,01,23.3
IDCJAC0016,066214,2024,02,02,27.6
IDCJAC0016,066214,2024,02,03,21.3
IDCJAC0016,066214,2024,02,04,25.9
IDCJAC0016,066214,2024,02,05,15.1
IDCJAC0016,066214,2024,02,06,8.4
IDCJAC0016,066214,2024,02,07,14.1
IDCJAC0016,066214,2024,02,08,14.2
IDCJAC0016,066214,2024,02,09,12.7
IDCJAC0016,066214,2024,02,10,20.4
IDCJAC0016,066214,2024,02,11,20.5
IDCJAC0016,066214,2024,02,12,27.7
IDCJAC0016,066214,2024,02,13,24.6
IDCJAC0016,066214,2024,02,14,17.2
IDCJAC0016,066214,2024,02,15,4.5
IDCJAC0016,066214,2024,02,16,18.7
IDCJAC0016,066214,2024,02,17,24.1
IDCJAC0016,066214,2024,02,18,17.4
IDCJAC0016,066214,2024,02,19,5.2
IDCJAC0016,066214,2024,02,20,10.1
IDCJAC0016,066214,2024,02,21,15.5
IDCJAC0016,066214,2024,02,22,25.8
IDCJAC0016,066214,2024,02,23,19.5
IDCJAC0016,066214,2024,02,24,3.9
IDCJAC0016,066214,2024,02,25,25.2
IDCJAC0016,066214,2024,02,26,19.6
IDCJAC0016,066214,2024,02,27,8.6
IDCJAC0016,066214,2024,02,28,19.2
IDCJAC0016,066214,2024,02,29,23.3
IDCJAC0016,066214,2024,03,01,13.7
IDCJAC0016,066214,2024,03,02,6.6
IDCJAC0016,066214,2024,03,03,22.0
IDCJAC0016,066214,2024,03,04,10.7
IDCJAC0016,066214,2024,03,05,22.8
IDCJAC0016,066214,2024,03,06,22.3
IDCJAC0016,066214,2024,03,07,20.0
IDCJAC0016,066214,2024,03,08,21.7
IDCJAC0016,066214,2024,03,09,23.0
IDCJAC0016,066214,2024,03,10,22.9
IDCJAC0016,066214,2024,03,11,22.0
IDCJAC0016,066214,2024,03,12,22.8
IDCJAC0016,066214,2024,03,13,20.2
IDCJAC0016,066214,2024,03,14,18.1
IDCJAC0016,066214,2024,03,15,17.2
IDCJAC0016,066214,2024,03,16,19.2
IDCJAC0016,066214,2024,03,17,9.1
IDCJAC0016,066214,2024,03,18,11.9
IDCJAC0016,066214,2024,03,19,19.0
IDCJAC0016,066214,2024,03,20,5.9
IDCJAC0016,066214,2024,03,21,14.3
